品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 ZTE/中兴, L580, 红色 白色 黑色, 无操作系统,299.00,6628,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, T9传统键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 128MB, 256MB, 2.3英寸, 非触摸屏, 320x240像素,（17468人气）,
 UniscopE/优思, US88&nbsp;T, 粉色 金色 白色 黑色 蓝色, 无操作系统,195.02,4457,, 拍照手机 音乐手机 老人手机, 可拆卸式电池, 无, 1500mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 支持MP4视频播放, 无, 32MB, 2.4英寸, 非触摸屏, 320x240,（1103人气）,
 小辣椒, 红辣椒手机任性版, 铁灰色 白色, Android/安卓,399.00,797,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 4G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核, 2000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（2505人气）,
 Lenovo/联想, K31-T3, 竞速黄 极地白, Android/安卓,599.00,641,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（9671人气）,
 Lenovo/联想, a858t, 清新白 深邃黑, Android/安卓,490.00,140,, 时尚手机 智能手机 女性手机, 可拆卸式电池, 四核心, 1.5GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（847人气）,
 小辣椒, 红辣椒任性版Plus, 白色, Android/安卓,580.00,318,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 4G手机 商务手机 女性手机 老人手机, 可拆卸式电池, 四核, 2300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.0英寸, 电容式, 720x1280像素,（2688人气）,
 纽曼, 白色 黑色, MTK, 音乐手机 时尚手机 老人手机,528.00,8778,, 可拆卸式电池, 无, 2080mAh,, 12键标准键盘, 1CM以上,, 单摄像头, 360P(逐行标清),, 无, 128MB, 2.4英寸, 电阻式触摸屏, 240x320,（3321人气）,
 Philips/飞利浦, E310, 温馨白 喜庆红 儒雅灰, 无操作系统,549.00,138,, 老人手机, 可拆卸式电池, 无, 1630mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 16MB, 8MB, 2.4英寸, 非触摸屏, 320x240,（1272人气）,
 纽曼, L8, 橙色 迷彩 黑色 绿色, 无操作系统,698.00,1104,, 三防手机 音乐手机 时尚手机 老人手机, 可拆卸式电池, 无, 7200mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 3GP, 无, 64MB, 2.4英寸, 非触摸屏, 240x320,（627人气）,
 Philips/飞利浦, 黑色+香槟色 黑色+灰色, 无操作系统, 老人手机,340.00,202,, 可拆卸式电池, 单核心, 500MHz及以下, 2900mAh, 直板, 12键标准键盘, 16.30mm, 无摄像头, 无摄像头, 360P(逐行标清), 128MB, 64MB, 2.4英寸, 非触摸屏, 240x320,（754人气）,
 Nokia/诺基亚, 222&nbsp;DS, 黑色, Symbian/塞班,399.00,382,, 拍照手机 音乐手机 时尚手机 儿童手机 商务手机 老人手机, 可拆卸式电池, 无, 1100mAh, 直板, 12键标准键盘, 1CM以上, 200万, 单摄像头, 360P以下, 无, 16MB, 2.4英寸, 非触摸屏, 320x240,（423人气）,
 UniscopE/优思, U&nbsp;W2014D, 金色 粉色 白色 蓝色, 无操作系统,499.00,7218,, 拍照手机 三防手机 音乐手机 时尚手机 儿童手机 商务手机 女性手机 老人手机, 可拆卸式电池, 无, 1500MAH, 翻盖, 12键标准键盘, 18.6mm, 30万, 单摄像头, MP4, 32MB, 32MB, 2.4英寸, 非触摸屏, 320x240,（9933人气）,
 ZTE/中兴, ZTE-C&nbsp;V16, 白色 黑色, 无操作系统,349.00,1180,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 360P(逐行标清), 64MB, 32MB, 2.4英寸, 非触摸屏, 320x240像素,（4073人气）,
 ZTE/中兴, V9180, 前黑后白, Android/安卓,799.00,74,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 4GB 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（911人气）,
 中国移动, M623C, 璀璨金 珠光白 星空灰, Android/安卓,568.00,76,, 时尚手机 智能手机 电视手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（343人气）,
 Daxian/大显, DX868, 红色 金色 黑色, 无操作系统,299.00,3324,, 商务手机 老人手机, 可拆卸式电池, 无, 800mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, MPEG-4, 64MB, 32MB, 2.4英寸, 非触摸屏, 240x320,（4661人气）,
 Lenovo/联想, A368T, 深邃黑 清新白, Android/安卓,599.00,328,, 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 480×854像素,（1169人气）,
 Lenovo/联想, A3600-d, 清新白 星夜黑, Android/安卓,679.00,461,, 时尚手机 智能手机, 可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 200万, 双摄像头（前后）, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（547人气）,
 TCL, P728M, 暗月灰, Android/安卓,999.00,58,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机, 不可拆卸式电池, 八核--1.4G&nbsp;HZ, 3300mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（288人气）,
 Samsung/三星, SCH-I679, 白色 午夜黑, Android/安卓,349.00,125,, 3G手机, 可拆卸式电池, 双核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 300万, 单摄像头, 4GB, 768MB, 4.0英寸, 电容式, 800x480,（159人气）,
 Daxian/大显, C68, 橙色 黑色 军绿色, 无,599.00,1350,, 三防手机 老人手机, 可拆卸式电池, 无, 6800mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 无, 32MB, 无, 2.0英寸, 非触摸屏, 320x240,（3906人气）,
 Fadar/锋达通, C6, 黑色 红色 金色, 无操作系统,399.00,106,, 拍照手机 音乐手机 女性手机 老人手机, 可拆卸式电池, 无, 1800mAh, 翻盖, 12键标准键盘, 1CM以上, 8万, 单摄像头, 不支持, 128MB, 64MB, 2.4英寸, 非触摸屏, 320x240,（179人气）,
 ZTE/中兴, L680, 咖啡色 深锖色, Nucleus,299.00,516,, 老人手机, 可拆卸式电池, 无, 1400mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, MP4/Ts/ASF/WMV/MKV/Webm/AVI/DivX/3gp/3g2, 128MB, 256MB, 2.31英寸, 非触摸屏, 320x240,（183人气）,
 Lenovo/联想, S810T, 铂雅银 珍珠白, Android/安卓,1199.00,38,, 音乐手机 时尚手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（506人气）,
 Daxian/大显, DX889, 红色 白色 黑色, 无,259.00,892,, 商务手机 老人手机, 可拆卸式电池, 无, 1500mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头," 3GP,JPG,GIF,MPGE-4,", 32MB, 32MB, 2.4英寸, 电阻式触摸屏, 320x240,（4450人气）,
 Fadar/锋达通, FDT&nbsp;C58, 橙色 黑色 绿色, 无操作系统,528.00,113,, 三防手机 老人手机, 可拆卸式电池, 无, 4000mAh, 直板, 12键标准键盘, 1CM以上, 8万, 单摄像头, 不支持, 16MB, 16MB, 2.4英寸, 非触摸屏, 320x240,（78人气）,
 TCL, P316L, 冰海蓝 雪山白, Android/安卓,325.00,54,, 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 500万, 双摄像头（前后）, 4GB, 512MB, 5.0英寸, 电容式, 854x480,（346人气）,
 Hisense/海信, I639T, 晴雪白 骑士灰, Android/安卓,889.00,16,, 时尚手机 智能手机 3G手机 4G手机 女性手机, 可拆卸式电池, 四核, 2500mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（94人气）,
 Samsung/三星, GT-E1200M, 黑色, 无操作系统,199.00,74,, 老人手机, 可拆卸式电池, 无, 800mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持, 无, 无, 1.8英寸, 非触摸屏, 128x128,（93人气）,
 aiyitong, z9000, 粉色 黄色 蓝色 绿色, 无操作系统,346.00,579,, 儿童手机, 可拆卸式电池, 单核心, 104MHz,, 直板, 特殊5键盘,, 无摄像头, 无摄像头, 64MB, 32MB, 0.96英寸, 非触摸屏, 128x64,,
 TCL, P589L, 时尚白, Android/安卓,438.00,18,, 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 5.0英寸, 电容式, 1280x720,（33人气）,
 Meizu/魅族, MX5公开版, 金色 灰色 银黑 银白, FLyme,1800.00,2129,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHZ, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（3177人气）,
 Xiaomi/小米, 红米Note2, 灰色 粉色 白色 黄色 蓝色, MIUI,800.00,4951,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（11542人气）,
 Meitu/美图, M4, 哆啦A梦特别版 HelloKitty特别版 月光白 薄荷绿 炫目红, MEIOS2,2300.00,633,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 4.7英寸, 电容式, 1280x720,（22820人气）,
 HTC, M8W, 钨丝晶 月光银, Android/安卓,2099.00,92,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 400万, 三摄像头, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（2328人气）,
 vivo, Xplay3S, 极光白, Android/安卓,3498.00,213,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 6.0英寸, 电容式, 2560*1440像素,（58599人气）,
 nubia/努比亚, My&nbsp;布拉格&nbsp;双4G版, 白+银, Android/安卓,1799.00,411,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 双四核, 2200mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.2英寸, 电容式, 1920x1080,,
 Xiaomi/小米, 红米Note&nbsp;4G双卡增强版, 象牙白, MIUI,899.00,16733,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（105127人气）,
 Xiaomi/小米, 红米手机2, 淡粉 深灰 浅绿 明黄 白色, MIUI,699.00,13220,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB, 1GB, 4.7英寸, 电容式, 1280x720,（213551人气）,
 Samsung/三星, SM-G8508S, 闪耀白 流光金 玄武黑, Android/安卓,2288.80,103,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1210万, 双摄像头（前后）, 16GB, 2GB, 4.7英寸, 电容式, 1280x720,（927人气）,
 Huawei/华为, 麦芒3s, 金色(白色TP) 麦芒金, Android/安卓,2068.00,115,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核&nbsp;1.5GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（342人气）,
 Coolpad/酷派, 白色, Android/安卓, 智能手机 4G手机 商务手机,999.00,1111,, 可拆卸式电池, 四核,, 直板, 9mm以下,, 1300万, 360P(逐行标清),,, 32GB, 3GB, 5.9英寸, 电容式, 1920x1080,（1776人气）,
 Samsung/三星, SM-E7009, 白色 蓝色, Android/安卓,3698.00,214,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（512人气）,
 Samsung/三星, SM-A5009, 雪域白, Android/安卓,4358.00,59,, 拍照手机 时尚手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万像素, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（238人气）,
 OPPO, R8205, 宝石蓝 冰晶白, Android/安卓,2599.00,346,, 拍照手机 智能手机 4G手机, 不可拆卸式电池, 八核&nbsp;1.5GHz, 2420mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（3461人气）,
 UMO/优摩, U2C, 黑色 红色, 无操作系统,428.00,187,, 商务手机 老人手机, 可拆卸式电池, 无, 3900mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 无, 128MB, 64MB, 2.8英寸, 电阻式触摸屏, 320x240,（934人气）,
 HTC, m8sd, 鎏金摩登灰 波尔多红 雪精灵白, Android/安卓,2489.00,18,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（1476人气）,
 Coolpad/酷派, 5951, 冰海蓝 智尚白, Android/安卓,649.00,24,, 智能手机 3G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 4GB, 1GB, 5.5英寸, 电容式, 1280x720,（533人气）,
 Philips/飞利浦, I999, 黑色, Android/安卓,3699.00,843,, 拍照手机 音乐手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 2070万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 3GB, 5.5英寸, 电容式, 2560×1440像素,（1031人气）,
 aiyitong, Z9000(S), 蓝色 黄色 绿色 粉色, 无操作系统,416.00,123,, 儿童手机, 可拆卸式电池, 单核心, 128MHz,, 直板, 特殊5键盘,, 无摄像头, 单摄像头, 64MB, 32MB, 0.96英寸, 非触摸屏, 128x64,（1438人气）,
 Meizu/魅族, MX4&nbsp;Pro&nbsp;联通版, 灰色 银黑色 银白色 金色, FLyme,1999.00,700,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 智能真8核, 3350mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 2070万, 双摄像头（前后）, 4k, 16GB 32GB 64GB, 3GB, 5.5英寸, 电容式, 2560x1536,,
 PHICOMM/斐讯, 白色 黑色, Android/安卓, 智能手机 3G手机 4G手机 商务手机,699.00,12,, 可拆卸式电池, 四核, 1750mAh,, 虚拟触屏键盘, 9mm(含)-10mm(含),, 双摄像头（前后）, 480P(逐行标清D2),, 4GB, 512MB, 4.5英寸, 电容式, 854x480,（290人气）,
 OPPO, N5117, 冰幻蓝 雪晶白 清柠黄, Android/安卓,2699.00,265,, 拍照手机 音乐手机 智能手机 3G手机 4G手机 女性手机, 不可拆卸式电池, 四核心, 1.6GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（45619人气）,
 aiyitong, ay688(C), 粉色 蓝色 绿色, 无操作系统,488.00,50,, 儿童手机, 可拆卸式电池, 单核心, 104MHz, 直板, 特殊5键盘, 1CM以上, 无摄像头, 无摄像头, 不支持视频格式, 64MB, 32MB, 1.44英寸, 非触摸屏, 128x128,（2744人气）,
 HTC, E9W, 银雅黑 珍珠白, Android/安卓,2099.00,20,, 时尚手机 智能手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（568人气）,
 Capitel/首信, C718, 精钢红 精钢黑, 无操作系统,358.00,198,, 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 无摄像头, 无摄像头, 不支持视频, 无, 无, 1.8英寸, 非触摸屏, 160X128,（894人气）,
 HTC, M8si, 骄阳金 月光银 钨丝晶, Android/安卓,2599.00,23,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（197人气）,
 Capitel/首信, S818, 白色 黑色 红色, 无操作系统,599.00,45,, 拍照手机 老人手机, 可拆卸式电池, 无, 1000mAh, 直板, 12键标准键盘, 1CM以上, 30万, 单摄像头, 无视频, 无, 无, 2.4英寸, 电阻式触摸屏, 320x240,（387人气）,
